source1_entity_id	matched_entity_ids
S1-686241407	S2-48730410,S2-283579865,S3-911898468,S3-932970617
S1-138500512	S2-306660438,S2-657994159,S3-741948090
S1-793918416	S3-390903564,S3-464906471,S3-399313793,S3-369040522
S1-869119782	S2-6104655,S2-205850537,S3-380435766
S1-781553041	S2-641797986,S2-684288309,S2-155170726,S2-27683266
S1-657209268	S3-67051068
S1-358017347	S2-628638340,S2-753614889,S2-263889598,S3-581837554,S3-384803994,S3-728616476
S1-289792760	S2-152706432,S3-517368493
S1-402603920	S2-735392004,S3-971980237,S3-220019270
S1-807835842	S2-797678212,S2-661208729,S2-348006582,S2-341252814,S3-189420831
S1-859067655	S3-882902543,S3-936608747
S1-993288577	S2-236556454,S2-951648037
S1-129778530	S2-240240213,S3-312382980,S3-191128226,S3-576228832,S3-45994650
S1-822791793	S2-46602328,S3-920139442
S1-978085452	S2-248788006,S2-286114816,S2-358818241,S2-772493751,S2-548650812,S3-642479032,S3-493025922
S1-243951849	S2-15051891,S3-526318618,S3-618639849
S1-701474916	S2-115192379,S2-883660277,S3-251282470
S1-371904317	S2-450227324,S3-981744011
S1-477817039	S2-906778244,S2-746650850,S3-574657442
S1-985154952	S2-239363200,S3-988799220
S1-325467721	S2-879880255,S2-246939097,S2-608000623,S3-381922207
S1-647007116	S2-242277745,S2-64251983,S2-521929451,S3-625956622,S3-460098862
S1-438734010	S3-272197376,S3-22467560
S1-238120053	S2-915290976,S2-581487458,S3-746978186,S3-48987898
S1-390061494	S2-933352191,S2-539111215,S3-268997698,S3-181944721,S3-216289930,S3-263729493,S3-952336201
S1-675353498	S2-914453945,S3-330891387
S1-303042951	S2-959191780
S1-123741037	S2-744858978,S2-636323678,S2-485035907,S3-390263132,S3-861736313
S1-530901436	S2-797635799,S2-575882455,S2-411208978,S2-602125264,S3-304505305
S1-858856995	S2-928965703,S2-358019932,S2-863364933,S2-487214315,S3-424003421
S1-819367101	S2-929136506,S2-363857792,S2-928791747
S1-166454785	S2-687528770,S2-434035908,S3-632553484,S3-700690864,S3-120443478
S1-636029017	S2-541101583,S3-34980034,S3-202347076
S1-827974420	S2-485231272,S2-816326963,S2-669864957,S2-328161812,S3-519793732,S3-551230208
S1-635938782	S2-706396663,S3-860838612,S3-953939796,S3-214297822
S1-278832153	S2-420416386,S2-142116275
S1-835645525	S2-99434895,S2-723529861,S3-86563109
S1-836184494	S2-78357598,S2-767952096,S2-903630239,S2-306245468,S3-56143484,S3-317619596
S1-687363887	S2-46825869,S3-395008792,S3-806550753
S1-618175396	S2-962727305,S2-111605215,S3-927669005,S3-145644173
S1-571269601	S2-507252444,S3-498685076,S3-798288128,S3-866752571,S3-622300654
S1-961699280	S2-88753523,S3-963287166
S1-675289169	S2-190972978,S2-766589423,S3-617833374,S3-763120864
S1-641740520	S2-656561084,S2-530852018,S3-116377906
S1-594652071	S2-164334170,S2-692559988,S3-944330090
S1-122624972	S2-301357941,S3-453331833
S1-470334399	S2-40151137,S3-630840386,S3-451056309,S3-690753574
S1-666356802	S2-393067255,S3-968024349,S3-427618279,S3-541125181,S3-459661173
S1-962977166	S2-843470754,S2-271565424,S2-613306453,S2-87817806,S2-52567184,S3-979309916
S1-704343442	S2-61941204,S2-261598716,S2-220521057,S3-951464640
S1-109944498	S2-884768158,S2-348310739
S1-32629897	S2-658116388,S2-440214281,S2-507663237,S3-40452701,S3-295350988
S1-588375333	S2-395105753,S2-600340331,S3-957928757
S1-748397266	S2-34353768,S2-700120093,S2-25116058,S3-399373521
S1-382062443	S2-350582243,S2-867680259,S3-921302775,S3-30755995
S1-222008936	S2-939606253,S3-620864999
S1-983489870	S2-805531601,S2-473804119,S2-750049848,S3-680389349,S3-672306074
S1-726664732	S2-936263590,S3-962086298,S3-15075803,S3-153667173,S3-518338119,S3-673898092
S1-874951354	S2-18266794,S3-880970349,S3-267554412,S3-922626468
S1-708050947	S2-879167762,S2-306888608,S2-846300116,S3-305201122
S1-514150772	S3-45491231
S1-316056178	S2-658974844,S3-560936266
S1-205928544	S2-124330584,S3-253006003,S3-934186478,S3-887558195
S1-823462003	
S1-175805396	S2-537700586,S3-783277784,S3-425353350,S3-405714401
S1-985536923	S2-649454752,S2-325933900,S2-25365194,S3-6456895
S1-671682191	S2-378627071,S3-188648020,S3-453975964,S3-31535318
S1-314154935	S2-318977757,S2-147774130,S3-403160093,S3-183113492
S1-694467155	S2-496176495,S2-506775116,S2-896562719,S3-856755496
S1-651672220	S2-633155366,S2-932363878,S3-209480384,S3-507479158
S1-715673259	S2-942771983,S3-951444895,S3-754034239
S1-233796577	S2-483107728,S2-223365343,S2-493207734,S3-335133927
S1-592477044	S2-904292579,S3-645450255,S3-291798584
S1-384713989	S2-823825896
S1-268468322	S2-15987655,S2-92857167,S3-241231700
S1-969074002	S2-38894581,S2-681128499,S3-66480711,S3-494013016,S3-528267893
S1-520517233	
S1-169367814	S2-754656443,S2-161367492,S2-173508020,S3-675582775,S3-977128701
S1-782247799	S2-58146362,S3-341476182
S1-763179636	S2-11068430,S2-678257277,S3-675727436
S1-219569074	S2-980822181,S2-461773527,S2-16035988,S3-614895900,S3-898663905
S1-74168598	S2-679673898,S2-36819283,S3-795617545
S1-428141893	S2-138414142,S3-404520155,S3-627391979,S3-240159661
S1-411173361	S2-702930899,S3-772242012,S3-726980858
S1-450889110	S2-115950641,S3-554579636
S1-457967489	S2-74026187,S2-300697605,S2-829838975,S2-697349246,S3-867752424,S3-918788482
S1-358764844	
S1-311791263	S2-405888415,S2-888196953,S3-305499656,S3-874094940
S1-740112235	S3-321097342
S1-829601330	S2-497984717,S2-979958092,S3-553158247
S1-723860098	S2-24989455,S3-160090848
S1-34766733	S2-306818500,S2-936298760,S3-93140514,S3-348558762
S1-158716148	
S1-697014409	S2-20403989,S2-554092879,S3-667549740,S3-512664228,S3-359728639
S1-28664043	S2-102013466,S2-446477042,S3-527210552
S1-455408222	S2-906007470,S3-898191288,S3-274671760,S3-696854590
S1-760193451	S3-553579805,S3-496304111,S3-246474225
S1-236611120	S2-397711027,S2-451687975,S2-798480042,S3-792358070,S3-264287020
S1-742003339	S2-65388405,S3-164253728,S3-488806946,S3-193554989
S1-596208423	S2-974859045,S3-878011801,S3-555710245
S1-151073508	S2-847678184,S2-992136246,S2-63551272,S3-923550630,S3-381625711,S3-407651399,S3-268890484
S1-547994760	S2-456783463,S2-70676549,S2-325079416,S3-575171346,S3-706857069
S1-787074691	S2-881415043,S2-653341240,S3-261933899
S1-401231169	S2-331367868,S2-129299749,S3-273942671,S3-867196701,S3-197530
S1-632423340	S2-147839123,S2-571039531,S3-28113201,S3-765519197
S1-979476818	
S1-746725114	S2-693429579,S2-870634405,S2-50255698,S3-865986787,S3-48664208
S1-904762498	S2-476803795,S2-18656006,S2-138417510,S3-260543665
S1-545950846	S2-571805817,S2-970861657,S3-131339080
S1-378904437	S2-424648354,S2-600491418,S2-682762794,S3-983721811
S1-192162271	S2-624949658,S3-496437533
S1-85962871	S2-734442332,S2-684666443
S1-780831037	S2-911491556,S2-883683714,S3-814748579,S3-949931490
S1-814388599	S2-832882066,S2-500737476,S2-337751021,S3-994438283,S3-991101458
S1-536690147	S2-436465006,S2-908451150,S3-688926592
S1-932824003	S2-185272522,S2-503855384,S3-399567767,S3-778794855,S3-427464654
S1-434341170	
S1-175184662	S2-514466034,S2-108088574,S2-185970170,S3-31082581
S1-920572009	S2-914372177,S2-903453189,S3-112836326,S3-199841118,S3-138622738
S1-204753643	S2-225450273,S3-542535980,S3-205182354,S3-512793688,S3-558379595
S1-835236860	S2-958221654,S2-283186212,S3-957410481
S1-368288926	
S1-858532955	S2-711615918,S2-174435399,S3-955890522
S1-256738759	S2-569662271,S2-54093602,S2-885811724,S3-874355127
S1-519183447	S3-704903752
S1-450495765	S2-97336147,S3-417460586,S3-599109310,S3-982329528,S3-309381604
S1-943083588	S2-5814480,S2-909278471,S3-355351411,S3-567188531,S3-727038230,S3-827087991
S1-14285959	S2-50090807,S2-638576395,S2-551181115,S3-487907739,S3-153964847,S3-359866356
S1-940620478	S2-93590440,S3-233310646,S3-163472994
S1-560095539	
S1-234799994	S2-421022703,S3-209880906
S1-704998146	S2-665274992,S3-566140192,S3-605138194,S3-529789689,S3-887111498
S1-924957749	S2-32749712,S2-210163575,S3-349866177
S1-701772420	S2-637421979,S3-513577484
S1-272354860	S2-433489109,S3-36725479,S3-896520617
S1-766501892	S2-860978054,S2-741374376,S2-390514090,S3-480283514,S3-760153579
S1-541018279	S2-824475417,S2-277123289,S3-941579940,S3-764212223,S3-66748973,S3-580324138,S3-286299973
S1-164973728	S2-791653663,S2-883593544,S2-134827724,S3-217720174,S3-617709741
S1-515112970	S2-634967351,S2-151054069,S3-455607375
S1-111898327	S2-452502888,S2-663748754,S2-793595564
S1-460632094	S2-539950303,S2-651641103,S2-607817666,S3-37961667
S1-723944210	S2-512667824,S2-347361370,S2-795365246,S3-378506560,S3-110026549,S3-928468553
S1-798938859	S2-73892843,S2-955586049,S3-6422311,S3-344807731
S1-335670270	S2-382440425,S3-532229368,S3-620199176,S3-193662702
S1-42952122	S3-196937864
S1-400123834	S2-804985211,S2-597989113,S2-580459679,S3-188631432,S3-989388957
S1-63806233	S2-776690303,S3-730286802,S3-189344985
S1-734682341	S2-226485029,S2-997854177,S3-834603179,S3-197267650
S1-620923286	
S1-118528045	S2-531340259,S3-865542964
S1-696785150	S2-619461075,S3-295192604
S1-924061107	S2-305834031,S3-707987835
S1-19426149	
S1-662017583	S2-68452364,S3-662288930
S1-404018503	S2-794922366,S2-915815738,S2-804537293,S3-500565891
S1-21612600	S2-440822577,S3-217805544
S1-832129859	
S1-484603589	S2-576038113,S2-302672629,S3-206594852,S3-12166022,S3-696705199
S1-73604444	S2-792318672,S3-903990284
S1-952628874	S2-666791184,S2-35133481,S2-189776103,S2-446306783,S3-785560060,S3-60214071
S1-927702094	S2-245396151,S2-181532243,S2-182503651,S3-883684340
S1-419830447	
S1-704160920	S2-799562267,S2-816474863,S2-486910485,S3-6535991,S3-282066856,S3-790195808,S3-918869981
S1-665232360	S2-22491780,S2-477538369,S3-20754868,S3-952922848
S1-389365492	S2-779854361,S2-909711708,S2-256535020,S3-631481744,S3-999119093
S1-648556135	S2-580612330,S3-143254565,S3-677254655
S1-13487831	S2-534080636,S3-155072638,S3-366941823,S3-216328291
S1-475345195	S2-535030639,S3-719900306
S1-634741417	S2-420058014,S3-175686599
S1-672558987	S2-752227495,S3-809740966,S3-39595865
S1-858819461	S2-653259885,S2-561028848,S2-643212234,S2-2550259,S3-792469983
S1-430490711	S2-781979344,S3-319358004,S3-41554469,S3-393911304
S1-240835089	S3-238463136
S1-96023242	S2-231603066,S2-895770207,S2-501683626,S3-114435275,S3-610002426,S3-494171400,S3-671903644
S1-739326068	S2-886570935,S2-776318400
S1-359120976	S2-977059930,S2-361276980
S1-909142409	S2-126564712,S2-967711427,S3-421047995,S3-236901051
S1-582245354	S2-496053709,S3-257544929,S3-607251915
S1-720722152	S2-818954428,S3-782998010,S3-512413118
S1-26108449	S2-60979775,S3-73451199,S3-653181133
S1-378119509	S2-255717140,S2-111125279,S3-582719248,S3-208630038
S1-583068859	S2-761832198,S2-562477148,S2-213171488,S2-435652117
S1-58032141	S2-758884988,S2-542349458,S2-425417020,S2-541877576,S3-755464619,S3-572182145,S3-829371709
S1-978339973	S2-838722617,S2-838861102,S2-707786506,S3-88388146,S3-480657658
S1-861976406	S2-195977644,S2-46066347
S1-607565286	S2-948831757,S2-228367690,S3-579061942,S3-524282066,S3-974043307
S1-372011974	S2-384372456,S2-441477022,S2-285884444,S3-141153233
S1-793654477	S2-269847902,S3-47919527
S1-497978898	S2-742426433,S2-855196177,S2-63945908,S3-434363967
S1-517389425	S2-683925418,S2-767529398,S3-328206026,S3-600048074,S3-575010532
S1-224904047	S2-793417038,S2-666332041,S2-414400958,S3-840231333
S1-386351838	S2-653194160,S2-550075772,S3-482899242
S1-348814655	S2-967192900,S2-204420498,S3-113349613
S1-966597546	S2-807728042,S3-505528147,S3-264141377
S1-390728884	S2-73558944,S3-561605715,S3-912473857,S3-561381758
S1-779729140	S2-312972091,S2-445613831,S2-515374455,S3-493111149
S1-793167780	S2-588189106,S2-985861783,S2-667803111,S3-276532275,S3-686307557,S3-271532684
S1-251278741	S2-700138256,S3-627289118,S3-664749188
S1-723999418	S2-312130099
S1-24116274	S2-635410345,S2-857665002,S3-82725150
S1-445327230	S2-275215470,S2-701804692,S2-791420614,S2-70202699,S3-688556658,S3-261941895,S3-191138404
S1-602811796	S2-555761345,S3-79705544
S1-164479658	S3-859923033
S1-120954828	S2-577144025,S3-86697398
S1-738757864	S2-203974907,S3-909467275
S1-119284889	
S1-680655575	S2-870284772,S3-868107297,S3-430779483,S3-263499630
S1-916392582	S2-577471983,S3-408315447,S3-141604349
S1-831910608	S2-88436813,S2-416221436,S3-112061727,S3-819751201,S3-809175771
S1-152157045	S2-631190717,S2-727800358,S2-512328273,S2-50095305,S3-216900611,S3-506765175
S1-407763555	S2-742357926,S3-24846549,S3-921806029,S3-348485853
S1-927372893	S2-29950308,S2-684084281,S3-585145819,S3-698615764
S1-905601691	S2-683228980,S2-954012327,S3-573179522,S3-820632239,S3-621197930
S1-387993422	S2-552182555,S2-340267299,S2-658609184,S3-475584490,S3-584270912,S3-281425175
S1-382935130	S3-570083953,S3-308204609
S1-827172283	S2-581627424,S2-167121337,S3-622908728,S3-338553930,S3-668740892
S1-299443390	S2-711417357,S2-182112007,S3-846722514,S3-912277831
S1-132872164	S2-316023541,S3-520663936,S3-966322116
S1-491142951	S2-401808736,S2-300441770,S3-585201000,S3-751219784
S1-500019877	S2-372674170,S2-941869020,S3-940278635
S1-603260493	S2-932339587,S2-143768305,S2-438068935,S3-305732818
S1-6076476	S2-866230517,S2-57485933,S2-580445642,S3-178135388,S3-417079090
S1-535519777	S2-576326594,S3-674423751,S3-600146581
S1-166014270	S2-67799601,S3-255534758
S1-689099068	S2-107224357,S3-988855147
S1-2134588	S2-403972632,S2-706671498,S3-779991328,S3-33396599
S1-568307010	S2-702516520,S2-583389258,S2-417250030,S3-484091143,S3-317943400
S1-534860297	S2-2277810,S2-853310514,S3-387786343,S3-613675076
S1-472377955	S2-418804006,S2-893822497,S3-355429958,S3-827974441,S3-170753641
S1-316479191	
S1-161872836	
S1-751660686	S2-569981123,S3-712826643
S1-697729794	S3-478667249,S3-991425818,S3-24981357,S3-912965674
S1-724450899	S2-475763113,S2-784648512,S3-671263244,S3-330050953,S3-592488303,S3-348649342
S1-723887915	S2-749862969,S2-413558292,S3-226289561,S3-813832329,S3-144173962,S3-877532438
S1-166604456	S2-855859143,S2-658359861,S3-292899359,S3-109700790
S1-331704596	S2-905576471,S2-352765329,S2-272716337,S3-502425870,S3-577149852
S1-329973852	S2-305454220,S3-217665202,S3-669721429,S3-647866851
S1-308926441	S2-355888244,S2-31054282,S2-347769257,S2-495825328,S2-590963623,S3-524010449
S1-586504895	S2-904129188,S2-331539779,S3-235250796,S3-793348819
S1-761659901	S2-186087094,S3-814424205,S3-531517280,S3-132253404
S1-986317647	
S1-286707088	S2-6908208,S3-501518894
S1-392481685	S2-523874024,S2-87429730,S3-427751250
S1-277250926	S2-856233169,S3-280568885,S3-656818479,S3-645262555
S1-709414696	
S1-149129042	S2-407118084,S3-311117483,S3-730170390
S1-722694204	S2-442785096,S3-983963778,S3-850485247,S3-568975670,S3-79138790
S1-383474684	S2-875926597,S3-547726742,S3-557497176
S1-428883508	S2-664775508,S3-467665513,S3-363282118,S3-881877355,S3-898506283
S1-242763164	S2-42586514,S2-688542386,S3-843828550
S1-60906751	S3-903920829
S1-650288292	S2-548006976,S3-420089828
S1-62363886	S3-422918487
S1-153531417	S2-689872955,S3-193330237,S3-797659083
S1-467146210	S2-503664375,S2-107618472,S2-991259188,S3-369708481,S3-314746501
S1-273578840	S2-764580654,S3-41474475
S1-52563845	S2-353146393,S2-636578871,S3-688625112,S3-260431186
S1-920222748	S2-668129270,S2-34887321,S3-632733232,S3-537362294,S3-294326798
S1-486549581	S2-497684640,S2-16241957,S3-313393353,S3-783760225
S1-965732285	S2-724773278,S3-718750861,S3-792644867
S1-469605437	S2-14030583,S2-990371943,S3-581401802,S3-48956176
S1-476352786	S2-655292311,S3-459240978
S1-719944967	S2-922783612,S3-430745372
S1-628858190	S2-299819970,S2-185815353,S3-15388790
S1-89023694	S3-520345985
S1-7856677	S2-179575891,S2-747613521,S3-490495697,S3-337166168
S1-488703300	S2-361883676,S2-555008182,S2-856996028,S3-638022841,S3-516858246
S1-367165313	S2-4641491,S3-680236674,S3-532994259,S3-393337499
S1-893658313	S2-741482975,S2-855200739,S3-436948369,S3-925275037,S3-648862702
S1-705830679	S2-610681221,S3-580330136,S3-806290410,S3-531077029
S1-594479894	S3-408448751
S1-451837473	S2-535917817,S2-924583003,S2-255889724,S2-787067871,S2-411366469,S3-433100209
S1-233080084	S2-856997713,S2-368337231,S2-315325157,S3-799351711,S3-855984084,S3-754787582,S3-165735515
S1-266373992	S2-451324,S2-544316644,S2-252730828,S2-478089366,S3-136089826,S3-44837979
S1-713807961	S2-645291469,S2-866480512,S2-552609299,S3-493882184,S3-230494209,S3-634957975
S1-558526247	S2-271504347,S2-290812153,S2-569903425,S3-985610393,S3-359954282,S3-281608748,S3-734315442
S1-159246985	S2-494424795,S2-814798853,S3-603946534
S1-245105819	S2-309540579
S1-775070557	S2-298341239,S2-972648014,S3-451832675
S1-963442166	S2-263532233,S2-610683878,S3-736384188
S1-249802923	S2-513317570,S2-696730481,S3-828783048
S1-10280612	S3-991160165,S3-201074825
S1-138015974	S2-197858671,S2-269867330,S3-107390808,S3-911012755
S1-664668690	S2-834864770,S3-339582552
S1-22387971	S2-71825806
S1-830376162	S2-135355320,S2-103645992,S2-921193563,S2-246827226,S2-478044287,S3-172286533,S3-608713133
S1-804139444	S3-551759267
S1-757333565	
S1-387011079	S2-109495858,S2-226845646,S3-175201882,S3-188872775,S3-1814519,S3-24105106
S1-280379297	S2-688539209,S3-978988261
S1-109395622	S2-415806953,S3-762165562,S3-732463364
S1-327041377	S2-34084147,S3-710166231,S3-105084916,S3-168137621,S3-8940222
S1-479782271	
S1-737900643	S2-970663721,S2-916722912,S2-462477883,S2-280490696,S3-834834631
S1-511786818	S2-160225869,S2-915656544,S2-221899328,S3-792632934,S3-926264916
S1-598170659	S2-258110597,S3-665173339
S1-725397823	S2-964899600,S3-848907105
S1-450024758	
S1-962911633	S2-397733824,S2-300573458,S2-618435601,S3-675197112,S3-674020576,S3-98875778
S1-330604393	S3-978168660,S3-972660601
S1-131445778	S2-706720148,S2-984652816,S2-1865405,S2-478948607,S3-570720828
S1-369143896	S2-124384747,S2-752244793,S2-1322404,S3-47036848,S3-124714522
S1-891447848	S3-720894292,S3-290199096
S1-487364089	S3-26434096,S3-824043254,S3-330442618
S1-687440775	S2-688133559,S2-346647729,S2-507209361,S2-29149239,S3-638573301
S1-115604272	S2-994195118,S2-722333829
S1-779321935	S2-365224252,S3-732730496,S3-945230109,S3-891381176,S3-645870146,S3-900393918,S3-308480743
S1-340743027	S2-205195584,S2-186926616,S2-787289865,S3-390778290
S1-69324104	S3-289894243
S1-65494388	S2-823215274,S2-568237791,S3-396038076
S1-373164430	S2-270753208,S3-868968984,S3-480814440
S1-835982432	S2-998498117,S3-77278660
S1-769019426	S2-856273373,S3-777657879,S3-836429727,S3-323766113
S1-403314726	S2-479273628,S2-906694050,S2-329168179,S2-154928375,S3-355027318
S1-433922342	S2-23372388
S1-830712961	S3-860091901,S3-524692454
S1-87504276	S2-397130747,S2-918990518,S3-647321023
S1-693640877	S2-539954804,S3-179430556,S3-394011117
S1-861462247	S3-672949239,S3-754848717
S1-620419495	S2-231812446,S3-442389715,S3-748369114
S1-689204419	S2-56129483,S2-339271200,S2-710610362,S2-643406518,S3-283410206,S3-850051030
S1-886105188	S2-700734658,S2-765692471,S3-754346344,S3-203101893
S1-141307278	S2-409950019,S2-992881794,S3-801957292,S3-110641848
S1-429643736	S2-930820847,S3-532216641,S3-547718014,S3-496460387
S1-765735163	S2-640293304,S2-365492441,S2-628267962,S3-337372937
S1-88609233	S2-178882999,S3-736258583,S3-930637830
S1-935582324	S3-81316919,S3-452722893,S3-120432244
S1-429412342	S2-913114040,S3-782253121,S3-523657488
S1-974534620	S2-85948898,S2-35641370,S3-621161087
S1-425966327	S2-819097322,S3-497276193
S1-243351475	S2-240417469,S3-159595030,S3-281388660,S3-509535426
S1-183410407	S2-267016007,S2-693268696,S3-241695566,S3-863389081
S1-719080391	S2-41170503,S3-780920643
S1-973337124	S2-993093151,S2-396246974,S3-493204361,S3-581457325,S3-330161847
S1-200208596	S2-804583400,S2-312456357,S3-491534536
S1-218771549	S2-7619907,S3-164341949,S3-111522857
S1-574970016	S3-629067372,S3-302387664,S3-317626222,S3-83157357
S1-29373917	S2-1309342,S3-879672030,S3-936894885
S1-885461134	S2-473330718,S2-264963524,S3-743968251,S3-383544162
S1-796043742	S2-319874494,S2-83987433,S3-117031508,S3-278898746
S1-821392051	S2-544846128,S2-324853558,S2-228559519,S3-64954485,S3-664854224
S1-326230315	S2-891083835,S2-552054525,S3-474605405
S1-464611336	S2-503410790,S2-833975635,S3-63534948,S3-524324904,S3-252426962
S1-908766976	S2-957224997,S3-957307003,S3-566718391
S1-134145563	S2-48540071,S3-990061347,S3-887537863
S1-623301285	S2-623492088,S3-808823720
S1-943198963	S2-398057623,S2-75134358,S2-166501530,S2-520463399,S3-512769704
S1-806931520	S2-409035079,S2-177788743
S1-512317135	S2-706447781,S3-335016119,S3-521851234,S3-179937566
S1-621320803	S3-128848587,S3-888915815,S3-705714700
S1-142037019	S2-514394749,S2-108313217,S2-63659951,S3-503639653,S3-618027888,S3-496790087,S3-695464764
S1-456795739	S2-842274291,S2-132988354,S3-177188149,S3-871313478,S3-506169566,S3-433463787
S1-765332830	S2-375262366,S2-906087603
S1-825096954	S2-145148857,S3-682090819
S1-975603758	S2-703158054,S2-605537907,S3-211484455,S3-401044995,S3-931626191
S1-750309339	S2-697712022,S3-547587758,S3-103477168
S1-82495876	S2-871156377,S2-446663420,S3-327163359
S1-48468624	
S1-186825234	S2-211769135,S2-56001842,S2-398197398,S3-533706889
S1-733672034	S2-296351208,S2-831519456,S3-545700650
S1-554477735	S2-866368323,S2-420509989,S2-466753263,S2-442457674,S3-513850068,S3-350189781,S3-749627594
S1-26661092	S2-733749498,S2-713420443,S3-239899439,S3-747729855,S3-818760383
S1-624705672	S2-24668132,S3-636337264,S3-212818893,S3-646661407
S1-469110428	S2-753976446,S2-674170386
S1-54262220	S2-929619235,S2-645149452,S2-732803771,S3-75486381,S3-574367568,S3-335057820
S1-409906801	
S1-526901921	S2-178461221,S3-173352119,S3-137359975
S1-611551007	S2-668426330,S2-13062261,S2-269200341,S3-194491630,S3-994611962,S3-160532369,S3-850562149
S1-85764369	S2-459552200,S2-912410074
S1-25991086	S2-626556750,S3-445731735,S3-873237298,S3-430500477,S3-413189895
S1-663065442	S2-794583056,S2-41768581,S3-58498080,S3-871849437
S1-899471154	S2-872605284,S2-635832558,S3-606855231,S3-99328860,S3-152579195,S3-60378603
S1-510825990	S2-832322345,S2-226391349
S1-140486572	S2-82353856,S2-874912477,S2-837960715,S3-698272155
S1-573110572	S2-795271156,S3-991963910
S1-658025911	S2-958776129,S3-843905561
S1-691310422	S2-807464409,S2-14848393,S3-800787449,S3-809919928,S3-775004914
S1-771738592	S2-709244286,S3-788372471
S1-818870992	S2-15506349,S2-387789777,S3-32719563,S3-721306772
S1-393498580	S2-68654523,S2-875769567,S2-382862005,S2-375784909,S2-560554219,S3-667543401,S3-933297219,S3-72155559
S1-349969025	S2-619029380,S2-565090227,S3-196998661,S3-239538658,S3-38935224
S1-52504412	S2-179213598,S3-823720845,S3-414295642
S1-931592979	S2-234857497,S2-549771662,S2-403188556,S3-921078733
S1-884914796	S2-916269390,S2-498698117
S1-741109435	S2-549967395,S2-294900731,S3-743444237,S3-152503430
S1-313617385	S2-297427950,S2-65032581
S1-759298226	S2-52018198,S2-760664615,S3-752108289,S3-419309721
S1-470491777	S2-824092346,S2-763998410,S3-548590541,S3-807726657
S1-422580152	S2-931207133,S3-627090829
S1-578947084	S2-551448979,S2-753633543,S2-319635431,S3-122730368
S1-379286660	S2-332630142,S2-334357021,S2-633694531,S3-902893371,S3-627135552
S1-556754412	S2-267763620,S2-399530490,S3-770233454,S3-426427702
S1-532062989	S2-940588156,S2-563753107,S2-92276634,S3-375594328,S3-362099606,S3-102181107
S1-445840005	S2-287129652,S3-534185661,S3-196444618
S1-639050049	S2-863186411,S2-558315424,S3-37869201,S3-678117404,S3-801495734,S3-74254425
S1-845490846	S2-22284297,S3-675718573,S3-339628503
S1-5785384	S2-376418564,S3-795510673,S3-922126216,S3-39276555
S1-12561846	S2-824683215,S2-706829644,S2-239396048,S3-606987882,S3-990996490
S1-175878710	S2-189736716,S3-804571777,S3-944307976,S3-825356186
S1-966979101	S2-21732554,S3-314012971
S1-78947900	S2-26533688,S2-326102978,S2-546177340,S3-415734867
S1-307080247	S2-244147891,S2-707825532,S3-806780049,S3-708469170,S3-212361630
S1-894370235	S2-332842932,S2-951827537
S1-526223722	
S1-156913460	S3-774746482,S3-681919998
S1-574638642	S2-437815788,S2-278779363,S2-783560597,S3-782558916,S3-972819872
S1-776622857	S2-108486593,S2-765116837,S3-3573773
S1-323536665	S2-236510592,S3-391945088
S1-353270376	S2-823717984,S2-805587632,S3-858203235
S1-759140867	S2-681928461,S2-800890973,S3-503391820,S3-260943745
S1-697069788	S2-17931220,S2-621767380,S2-761967804,S3-356645512,S3-360434904,S3-249250805
S1-516933073	S2-599277057,S3-258440744
S1-313759461	S2-842656084,S3-44299686,S3-885349046,S3-78709435
S1-503495308	S2-382962040
S1-926126243	S2-166540731,S3-41684138,S3-825480521
S1-512710093	S2-23410851,S2-123047266,S2-867527501,S3-421754005
S1-716838304	S2-636671629,S2-603222140,S3-843028052,S3-419750544,S3-892602127,S3-184370501
S1-851819883	S2-445961694,S2-132785446,S2-562009350
S1-243240760	S2-813009305,S3-695033853
S1-515630201	S3-538243284,S3-699002122
S1-37984602	S2-991186044,S2-507212543,S3-682924244,S3-180821902,S3-574191624,S3-509584757
S1-95189615	S2-813124427,S2-239277300,S3-638523842,S3-456486724
S1-620161074	S2-361428891,S2-239070036,S2-689967971,S3-557147948
S1-408253145	S2-761608171,S3-862331275,S3-682010304,S3-12178040,S3-229213239
S1-727987433	S2-565755265,S2-139092253,S3-293626884,S3-522523392
S1-539953770	S2-307782712,S2-145538208,S2-408948141,S3-859666293,S3-687523673,S3-153143677
S1-609220225	S2-652239444,S2-679036733,S3-591424820,S3-645904501
S1-815851929	S2-296843380,S3-281070757,S3-985837444
S1-326088820	S2-906049741,S3-420555200
S1-104562954	S2-663387753,S3-153529764,S3-789449305
S1-89911089	S2-822970011,S3-305458942
S1-298986603	S2-752177389,S2-347207800,S3-44419308,S3-768141958,S3-295061514
S1-520565065	S2-306120513,S2-642263968,S2-305151201,S2-318955787,S3-137204206
S1-369795576	S2-367679671,S2-585254180,S2-855866379,S3-963994315,S3-956965152,S3-890564643
S1-484138399	S2-185498505,S3-836510454
S1-49244472	S2-731392217,S3-30617700,S3-17665355,S3-358724959,S3-344170326
S1-198290933	S2-512475011,S3-877824524,S3-214257666,S3-802557203
S1-871984634	
S1-441709860	S2-70039628,S2-209515604,S2-483584748,S3-388567276
S1-178047974	S2-338871567,S2-157649879
S1-291090532	S2-761276782,S3-306181063,S3-400167002
S1-61359908	S2-266500446,S2-764868926,S2-515792084,S3-583870381,S3-530118504,S3-360184594
S1-930194973	S2-310069047,S3-571601736,S3-567818437
